HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
,,,10.4,EC,,,
"""0203.2200""",0203.2200  12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,RS,MV,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
,,,9.6,NI,,,
,,,10.4,EC,,,
"""0203.2900""",0203.2900  12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS, RKR,AU,GE,MU, AS ,",,KH,
,,,,"RAU , NZ ,KH,RS,MV,HK,",,,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
,,,9.6,NI,,,
,,,10.4,EC,,,
"""2.04""",2.04,2.04,,,,,
"""0204.1000""",0204.1000 - 15,15,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RNZ ,KH,MV,HK,MO",,,
,,,9,"AU , KR ,EC",,,
,,,9.5,JP,,,
,,,12,"PK,RS",,,
,,,13,NI,,,
"""0204.2100""",0204.2100  23,23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,10.3,KR,,,
,,,19.9,NI,,,
,,,20.7,"AS R , AU ,RNZ",,,
"""0204.2200""",0204.2200  15,15,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RNZ ,KH,MV,HK,MO",,,
,,,9,"AU ,RKR ,EC",,,
,,,9.5,JP,,,
,,,12,"PK,RS",,,
,,,13,NI,,,
"""0204.2300""",0204.2300  15,15,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RNZ ,KH,MV,HK,MO",,,
,,,9,"AU R , KR ,EC",,,
,,,9.5,JP,,,
,,,12,"PK,RS",,,
,,,13,NI,,,
"""0204.3000""",0204.3000 - 15,15,0,"AS,CL,NZ,CR,CH,IS,",0,LD,70
,,,,"RKR,AU,GE,MU, AS ,",,,
,,,,"RNZ ,KH,MV,HK,MO",,,
,,,0.9,PE,,,
,,,9,"AU R , KR ,EC,RS",,,
,,,9.5,RJP,,,
,,,12,PK,,,
,,,13,NI,,,
"""0204.4100""",0204.4100  23,23,0,"AS,CL,NZ,CR,CH,IS,",0,LD,70
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,1.4,PE,,,
,,,10.3,KR,,,
,,,13.8,"EC,RS",,,
,,,18.4,"RAS ,RAU R , KR R , NZ",,,
,,,19.9,NI,,,
"""0204.4200""",0204.4200  12,12,0,"AS,CL,NZ,CR,CH,IS,",0,LD,70
,,,,"KR,AU,GE, RMU, AS ,",,,
,,,,"RNZ ,KH,MV,HK,MO",,,
,,,0.7,PE,,,
,,,6,PK,,,
,,,7.2,"AU R , KR ,EC,RS",,,
,,,7.6,JP,,,
,,,10.4,NI,,,
"""0204.4300""",0204.4300  15,15,0,"AS,CL,NZ,CR,CH,IS,",0,LD,70
,,,,"KR,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,0.9,PE,,,
,,,9,"AS , AU R , KR R , NZ ,",,,
,,,,"EC,RS",,,
,,,9.5,JP,,,
,,,12,PK,,,
,,,13,NI,,,
"""0204.5000""",0204.5000 - 20,20,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,,"CH,IS,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,5.3,KR,,,
,,,12,EC,,,
,,,14.7,"AS R , KR",,,
,,,15,JP,,,
,,,16,"AU R , NZ ,RS",,,
,,,17.3,NI,,,
"""2.05""",2.05,2.05,,,,,
"""0205.0000""",0205.0000  20,20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""2.06""",2.06,2.06,,,,,
"""0206.1000""",0206.1000 - 12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,KR, RAU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,NI,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
,,,9.6,"RS,MV",,,
,,,10.8,EC,,,
"""0206.2100""",0206.2100  12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,KR,AU,GE, RMU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,NI,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,"KR ,RS",,,
,,,7.6,JP,,,
,,,9.6,MV,,,
,,,10.8,EC,,,
"""0206.2200""",0206.2200  12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,KR,AU, RGE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,NI,EC,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,"KR ,RS",,,
,,,7.6,JP,,,
,,,9.6,MV,,,
"""0206.2900""",0206.2900  12,12,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",70
,,,,"CH,IS,KR,AU,GE,MU,KH,",,"KH,",
,,,,"NI,HK,MO",,LA,
,,,7.2,"AS R , AU , KR R , NZ ,",,,
,,,RS,,,,
,,,7.6,JP,,,
,,,9.6,MV,,,
,,,10.6,EC,,,
"""0206.3000""",0206.3000 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0206.4100""",0206.4100  20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""0206.4900""",0206.4900  12,12,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,MV,HK,",,LA,
,,,,MO,,,
,,,6,PK,,,
,,,7.2,"KR ,RS",,,
,,,7.6,JP,,,
,,,10.4,"NI,EC",,,
"""0206.8000""",0206.8000 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,KH,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR ,RNZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0206.9000""",0206.9000 - 18,18,0,"AS,CL,NZ,CR,CH,IS,",0,"LD,",70
,,,,"AU,GE,MU,KH,MV,HK,",,KH,
,,,,MO,,,
,,,1.1,PE,,,
,,,4.8,KR,,,
,,,10.8,EC,,,
,,,13.2,"AS R , KR",,,
,,,13.5,JP,,,
,,,14.4,"PK, AU R , NZ ,RS",,,
,,,15.6,NI,,,
"""02.07""",02.07 01.05,1.05,,,,,
"""0207.1100""","0207.1100 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,RJP,,,
,,,17.3,NI,,,
"""0207.1200""","0207.1200 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",1
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,12,"AS R , AU R , KR , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
,,,18,EC,,,
,,,2,KR,,,
,",",,,,,,
"""207.1311""",207.1311,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""207.1319""",207.1319,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""207.1321""",207.1321,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""207.1329""",207.1329,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR ,RNZ",,,
,,,15,RJP,,,
,,,17.3,NI,,,
,,,",",,,,
"""207.1411""",207.1411,1,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",2
,,,,"RCH,  IS,  AU,  GE,MU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,6,RKR,,,
,,,6.4,JP,,,
,,,8,"NI,RS",,,
,,,8.7,EC,,,
,,,3,KR,,,
"""0207.1419""",0207.1419  10,10,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",1
,,,,"RCH,IS,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,6,KR,,,
,,,6.4,JP,,,
,,,8,"NI,RS",,,
,,,8.7,EC,,,
,,,2,KR,,,
"""0207.1421""",0207.1421  3,3,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",4
,,,,"RCH,IS,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,6,KR,,,
,,,6.4,JP,,,
,,,8,"NI,RS",,,
,,,8.7,EC,,,
,,,5,KR,,,
"""0207.1422""",0207.1422  6,6,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",7
,,,,"RCH,IS,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.7,EC,,,
,,,8,KR,,,
"""0207.1429""",0207.1429  9,9,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",10
,,,,"RCH,  IS,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,"LA,",
,,,,MO,,MM,
,,,6,"KR ,RS",,,
,,,6.4,RJP,,,
,,,8,"NI,EC",,,
,,,11,KR,,,
"""0207.2400""","0207.2400 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,LA,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"RAS ,RAU ,RKR , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""0207.2500""","0207.2500 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,LA,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""0207.2600""","0207.2600 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,LA,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR ,RNZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""0207.2700""","0207.2700 , 10",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,LA,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6,"RKR ,RS",,,
,,,6.4,JP,,,
,,,8,"NI,EC",,,
"""0207.4100""","0207.4100 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU , KR ,RNZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0207.4200""","0207.4200 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS ,RAU , KR R , NZ",,,
,,,15,RJP,,,
,,,17.3,NI,,,
"""0207.4300""","0207.4300 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , AU ,RKR , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0207.4400""","0207.4400 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU , KR R , NZ",,,
,,,15,RJP,,,
,,,17.3,NI,,,
"""0207.4500""","0207.4500 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,EC,MV,",,"KH,",
,,,,"HK,MO",,"LA,",
,,,,,,MM,
,,,9,KR,,,
,,,16,"AS R , AU R , NZ",,,
,,,16.2,JP,,,
,,,17.3,NI,,,
"""0207.5100""","0207.5100 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0207.5200""","0207.5200 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0207.5300""","0207.5300 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0207.5400""","0207.5400 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,RJP,,,
,,,17.3,NI,,,
"""0207.5500""","0207.5500 , 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,"LA,",
,,,,,,MM,
,,,5.3,KR,,,
,,,12,"AS R , AU , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0207.6000""",0207.6000 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""2.08""",2.08,2.08,,,,,
"""0208.1010""","0208.1010 -, 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0208.1020""","0208.1020 -, 20",20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0208.1090""",0208.1090 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""0208.3000""",0208.3000 - 23,23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,13.8,"KR ,RS",,,
,,,14.6,JP,,,
"""0208.4000""",0208.4000 -( 23,23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,13.8,"KR ,RS",,,
,,,14.6,JP,,,
"""0208.5000""",0208.5000 - 23,23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,13.8,"KR ,RS",,,
,,,14.6,JP,,,
"""0208.6000""",0208.6000 - 23,23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,13.8,"KR ,RS",,,
,,,14.6,JP,,,
"""0208.9010""",0208.9010 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,17.3,NI,,,
"""0208.9090""",0208.9090 - 23,23,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,EC,MV,",,,
,,,,"HK,MO",,,
,,,10.3,KR,,,
,,,18.4,"AS R , AU R , KR R , NZ ,",,,
,,,RS,,,,
,,,19.9,NI,,,
"""2.09""",2.09,2.09,,,,,
,",",,,,,,
"""0209.1000""",0209.1000 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU ,RKR ,RNZ ,",,,
,,,RS,,,,
,,,15,RJP,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""0209.9000""",0209.9000 - 20,20,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
,,,18,EC,,,
"""02.10""","02.10 ,",,,,,,
"""0210.1110""",0210.1110 -,25,0,"AS,CL,NZ,PE,CR,IS,",0,"LD,",80
,,,,"AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,11.2,KR,,,
,,,20,"AS , AU R , KR R , NZ ,",,,
,,,,NI,,,
,,,20.2,JP,,,
,,,21.7,"EC,RS",,,
"""0210.1190""",0210.1190 -,25,0,"AS,CL,NZ,PE,CR,IS,",0,"LD,",80
,,,,"AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,11.2,KR,,,
,,,20,"AS R , AU R , KR R , NZ ,",,,
,,,,NI,,,
,,,20.2,JP,,,
,,,21.7,"EC,RS",,,
"""210.12""",210.12,25,0,"AS,CL,NZ,PE,CR,IS,",0,"LD,",80
,,,,"AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,LA,
,,,11.2,KR,,,
,,,20,"AS R , AU ,RKR , NZ",,,
,,,20.2,JP,,,
,,,21.7,"NI,EC,RS",,,
"""210.19""",210.19,25,0,"AS,CL,NZ,PE,CR,IS,",0,"LD,",80
,,,,"AU,GE,MU,KH,MV,HK,",,"KH,",
,,,,MO,,MM,
,,,11.2,KR,,,
,,,20,"AS , AU R , KR ,RNZ",,,
,,,20.2,JP,,,
,,,21.7,"NI,EC,RS",,,
"""0210.2000""",0210.2000 -,25,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",80
,,,,"IS,AU,GE,MU,KH,NI,MV,",,"KH,",
,,,,"HK,MO",,LA,
,,,11.2,KR,,,
,,,20,"AS R , AU , KR R , NZ",,,
,,,20.2,JP,,,
,,,21.7,RS,,,
"""-,""","-,",,,,,,
"""210.91""",210.91,25,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",80
,,,,"IS,KR,AU, RGE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,MV,HK,",,LA,
,,,,MO,,,
,,,15,KR,,,
,,,15.9,JP,,,
"""210.92""",210.92,25,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",80
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU R , NZ ,KH,MV,HK,",,LA,
,,,,MO,,,
,,,10,PK,,,
,,,15,"KR ,RS",,,
,,,15.9,JP,,,
"""0210.9300""",0210.9300  25,25,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",80
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,EC,MV,",,LA,
,,,,"HK,MO",,,
,,,15,KR,,,
,,,15.9,JP,,,
,,,21.7,NI,,,
"""0210.9900""",0210.9900  25,25,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",80
,,,,"IS,AU,GE,MU,KH,NI,MV,",,"KH,",
,,,,"HK,MO",,LA,
,,,11.2,KR,,,
,,,20,"AS R , AU , KR R , NZ",,,
,,,20.2,JP,,,
"""3.01""",3.01,3.01,,,,,
"""301.11""",301.11,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,,"IS,AU,GE,MU,KH,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,4.6,KR,,,
,,,8,NI,,,
,,,14,"PK,RAS ,RAU R , KR ,",,,
,,,,RNZ,,,
"""301.19""",301.19,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,,"IS,AU,GE,MU,KH,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,4.6,KR,,,
,,,8,NI,,,
,,,10.5,"AS R , AU R , KR , NZ",,,
,,,14,PK,,,
"""0301.9110""",0301.9110 -,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0301.9190""",0301.9190 -,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,40
,,,,"IS,KR,AU,GE, RMU, AS ,",,,
,,,,"RAU , NZ ,KH,RS,MV,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
,,,7.6,AP,,,
,,,8,NI,,,
,,,9,EC,,,
"""0301.9210""",0301.9210 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RJP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0301.9290""",0301.9290 - 7,7,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",40
,,,,"IS,KR,AU,GE,MU,RAS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,NI,EC,RS,",,MM,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,4.7,AP,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""0301.9310""",0301.9310 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0301.9390""",0301.9390 - 7,7,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",40
,,,,"IS, RKR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,NI,RS,MV,",,MM,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,5.3,AP,,,
,,,5.6,EC,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
"""0301.9410""",0301.9410 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0301.9491""",0301.9491  7,7,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",40
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU , NZ ,KH,NI,RS,HK,",,MM,
,,,,MO,,,
,,,2,PK,,,
,,,5.3,AP,,,
,,,5.6,EC,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
,,,8.4,MV,,,
"""0301.9492""",0301.9492  7,7,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",40
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,NI,RS,HK,",,MM,
,,,,"MO,TW",,,
,,,2,PK,,,
,,,5.3,AP,,,
,,,5.6,EC,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
,,,8.4,MV,,,
"""0301.9510""",0301.9510 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""0301.9590""",0301.9590 - 7,7,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",40
,,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,,"RAU ,RNZ ,KH,NI,RS,HK,",,MM,
,,,,MO,,,
,,,2,PK,,,
,,,5.3,AP,,,
,,,5.6,EC,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
,,,8.4,MV,,,
"""0301.9911""",0301.9911  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
