HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.4,PK,,,
,,7.2,KR,,,
,,7.6,RJP,,,
"""8539.2999""",6,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.4,PK,,,
,,7.2,RKR,,,
,,7.6,JP,,,
,,,,,,
"""8539.3110""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"AS R , AU ,RNZ",,,
,,6.4,"AP,RS",,,
"""8539.3120""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"AS R , AU R , NZ",,,
,,7.1,EC,,,
"""8539.3191""",8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,"RAU , KR R , NZ ,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,4,PK,,,
,,4.8,NI,,,
,,5.1,JP,,,
"""8539.3199""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR ,RNZ ,KH,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
"""8539.3230""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"KR ,NI",,,
,,5.1,JP,,,
,,6.9,EC,,,
"""8539.3240""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,"AS R , AU R , KR R , NZ ,",,,
,,NI,,,,
,,5.1,JP,,,
,,6.9,EC,,,
"""8539.3290""",8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,70
,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,"RAU R , KR , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4,PK,,,
,,4.8,NI,,,
,,5.1,JP,,,
,,6.9,EC,,,
"""8539.3910""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5,"AS R , AU ,RNZ",,,
,,6.4,AP,,,
"""8539.3920""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"RAS , AU R , NZ",,,
,,6.9,EC,,,
"""8539.3990""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO,TW",,,
,,2.1,KR,,,
,,4.8,"AS R , AU R , KR R , NZ ,",,,
,,NI,,,,
,,6,JP,,,
,,,,,,
"""8539.4100""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5,"AS , AU R , NZ",,,
"""8539.4900""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"AS R , AU R , NZ",,,
,,6.9,EC,,,
,,,,,,
"""8539.5100""",6,0,"AS,CL,PK,NZ,SG,",0,LD,80
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,KH,NI,EC,MV,HK,MO",,,
,,4.8,RS,,,
,,6,"AS R , AU R , KR R , NZ",,,
,,6.4,JP,,,
,,,,,,
"""8539.5210""",8,0,"AS,CL,PK,NZ,SG,",0,LD,80
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,KH,MV,HK,MO",,,
,,4.8,"NI,EC",,,
,,6,"AS R , AU R , KR ,RNZ",,,
,,6.4,"JP ,RS",,,
"""8539.5220""",8,0,"AS,CL,PK,NZ,SG,",0,LD,80
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,KH,MV,HK,MO",,,
,,4.8,NI,,,
,,6,"RAS , AU R , KR R , NZ",,,
,,6.4,"JP ,RS",,,
,,6.9,EC,,,
"""8539.9010""",8,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,4.8,NI,,,
,,5.3,KR,,,
,,6.4,RS,,,
,,14.7,"AS R , KR",,,
,,15,JP,,,
,,16,"AU R , NZ",,,
"""8539.9090""",8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,20
,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,"MO,TW",,,
,,4,PK,,,
,,4.8,NI,,,
,,5,"AS R , AU , NZ",,,
,,6.4,RS,,,
,,6.9,EC,,,
"""85.4""",,,,,,
,,,,,,
,,,,,,
"""8540.1100""",8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"RS,MV,HK,MO",,,
,,2.4,PK,,,
,,3.2,KR,,,
,,4.8,NI,,,
,,7.1,EC,,,
,,8.8,"AS R , KR",,,
,,9,JP,,,
,,9.6,"AU R , NZ",,,
"""8540.1200""",8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,4.8,"PK,NI,RS",,,
,,7.1,EC,,,
,,9,KR,,,
,,9.5,JP,,,
,,,,,,
"""8540.2010""",8,0,"AS,CL,NZ,SG,PE,",0,LD,35
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,RS,MV,HK,MO",,,
,,2.4,PK,,,
,,4.8,NI,,,
,,7.1,EC,,,
,,7.2,"AS R , AU R , KR R , NZ",,,
,,9,JP,,,
"""8540.2090""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,6.9,EC,,,
,,,,,,
,,,,,,
"""0.4""",,,,,,
"""8540.4010""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
"""0000.4000""",,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""8540.4020""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RKR , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""8540.6010""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RJP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,3.9,AP,,,
"""8540.6090""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
,,,,,,
"""8540.7100""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2.1,KR,,,
,,4.8,NI,,,
,,5.9,"RAS , KR",,,
,,6,JP,,,
,,6.4,"AU R , NZ",,,
"""8540.7910""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""8540.7990""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , KR R , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,JP,,,
,,7.1,EC,,,
"""8540.8100""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"RAS , AU R , NZ",,,
,,7.1,EC,,,
"""8540.8900""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"MV,HK,MO,TW",,,
,,4.8,"AS R , AU , KR R , NZ ,",,,
,,,"NI,RS",,,
,,5.1,JP,,,
,,6.4,EC,,,
"""8540.9110""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8540.9120""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,3.3,AP,,,
"""8540.9190""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"RAS , AU R , NZ",,,
,,7.1,EC,,,
"""8540.9910""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , KR R , NZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,5.1,RJP,,,
,,5.2,AP,,,
,,7.1,EC,,,
"""8540.9990""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5,"AS R , AU R , NZ",,,
,,6.9,EC,,,
"""85.41,""",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"""8541.1000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU ,RJP ,RKR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""8541.2100""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.2900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.3000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"AS ,RAU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""8541.4100""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.4200""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.4300""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.4900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.5111""",11,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,4.9,KR,,,
,,8.8,"AS R , AU ,RNZ ,NI,RS",,,
"""8541.5112""",0,0,"AP,AS,CL,PK,NZ,",0,LD,31
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,",,,
,,,"RNZ ,KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,2,KR,,,
"""8541.5113""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.5119""",0,0,"AP,AS,CL,PK,NZ,",0,LD,17
,,,"PE,CR,CH,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO,TW",,,
,,3,KR,,,
,,3.8,JP,,,
"""8541.5121""",9,0,"AS,CL,NZ,SG,PE,",0,LD,35
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO,TW",,,
,,2,PK,,,
,,2.4,KR,,,
,,5.9,AP,,,
,,6.6,"RAS , KR",,,
,,6.8,JP,,,
,,7.2,"AU R , NZ ,NI,RS",,,
"""8541.5129""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.5130""",8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,2.4,PK,,,
,,4.8,NI,,,
,,5.4,KR,,,
,,6.4,RS,,,
,,9.6,"AS R , AU , KR R , NZ",,,
,,9.7,JP,,,
"""8541.5140""",8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"EC,MV,HK,MO",,,
,,2.4,PK,,,
,,4.8,NI,,,
,,5.4,KR,,,
,,6.4,RS,,,
,,9.6,"AS R , AU , KR ,RNZ",,,
,,9.7,JP,,,
"""8541.5900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.6000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8541.9000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.42""",,,,,,
,,,,,,
"""8542.3111""",0,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6.4,RJP,,,
"""8542.3119""",0,0,"AP,AS,CL,PK,NZ,",0,LD,46
,,,"SG,PE,CR,CH,IS,KR,AU,",,,
,,,"RGE,MU, AS R , AU R , JP ,",,,
,,,"RKR ,RNZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
"""8542.3190""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,24
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8542.3210""",0,0,"AP,AS,CL,PK,NZ,",0,LD,45
,,,"SG,PE,CR,CH,IS,KR,AU,",,,
,,,"RGE,  MU,AS R , AU , JP ,",,,
,,,"RKR ,RNZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
"""8542.3290""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,24
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU,RJP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8542.3310""",0,0,"AP,AS,CL,PK,NZ,",0,LD,45
,,,"SG,PE,CR,CH,IS,KR,AU,",,,
,,,"RGE,  MU,AS R , AU , JP ,",,,
,,,"RKR ,RNZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
"""8542.3390""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,24
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R ,AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8542.3910""",0,0,"AP,AS,CL,PK,NZ,",0,LD,45
,,,"SG,PE,CR,CH,IS,KR,AU,",,,
,,,"RGE,MU, ASR , AU R , JP ,",,,
,,,"RKR , NZ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
"""8542.3990""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,24
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8542.9000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R ,AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.43""",,,,,,
"""8543.1000""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R ,AU , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3,KR,,,
,,3.2,JP,,,
"""8543.2010""",0,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,TW",,,
,,4.8,PK,,,
,,9,"AS , AU R , NZ",,,
,,9.5,JP,,,
,,12,KR,,,
"""8543.2090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO,TW",,,
,,4.8,"AU , NZ",,,
"""8543.3000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RJP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.4000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.7091""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.7092""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.7093""",8,0,"AS,CL,PK,NZ,SG,",0,LD,35
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS ,RAU ,RNZ ,KH,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,6,KR,,,
,,6.4,"JP ,EC",,,
"""8543.7099""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP ,RKR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.9010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.9021""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,80
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.9029""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.9030""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.9040""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8543.9090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.44""",,,,,,
,,,,,,
,,,,,,
"""8544.1100""",10,0,"AS,CL,PK,NZ,SG,",0,LD,70
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,EC,MV,HK,MO,TW",,,
,,2.6,KR,,,
,,6,RS,,,
,,6.5,AP,,,
,,7.3,"AS R , KR",,,
,,7.5,JP,,,
,,8,"AU R , NZ ,NI",,,
"""8544.1900""",10,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,8,"NI,RS",,,
,,8.8,EC,,,
,,9,KR,,,
,,16,"PK,RAS R , AU , NZ",,,
"""8544.2000""",10,0,"AS,CL,PK,NZ,SG,",0,LD,20
,,,"PE,CR,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,"HK,MO,TW",,,
,,2,CH,,,
,,6,"KR ,EC,RS",,,
,,6.4,RJP,,,
,,6.5,AP,,,
,,8,NI,,,
,,,,,,
"""8544.3020""",10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,20
,,,"AU,GE,MU,KH,NI,MV,HK,",,,
,,,MO,,,
,,2.6,KR,,,
,,5,AS,,,
,,6,"AS ,RS",,,
,,6.4,JP,,,
,,8,PK,,,
,,8.8,EC,,,
,,9,"AU , NZ",,,
"""8544.3090""",5,0,"CL,NZ,PE,CR,CH,IS,",0,LD,70
,,,"AU,GE,MU,KH,NI,EC,MV,",,,
,,,"HK,MO",,,
,,1.3,KR,,,
,,3,RS,,,
,,4,PK,,,
,,,,,,
"""41.66666667""",,,,,,
"""-80""",,,,,,
"""8544.4211""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8544.4219""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""-80,""",,,,,,
"""41.66666667""",,,,,,
"""8544.4221""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8544.4229""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""-80""",,,,,,
"""8544.4911""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8544.4919""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , JP ,RKR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""-80,""",,,,,,
"""41.66666667""",,,,,,
"""8544.4921""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,3.9,"AP,KR",,,
,,5,"AS R , AU R , NZ",,,
"""8544.4929""",8,0,"AS,CL,PK,NZ,SG,",0,LD,70
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU R , KR ,",,,
,,,"RNZ ,KH,NI,EC,RS,MV,HK,",,,
,,,"MO,TW",,,
,,5.2,AP,,,
,,9,JP,,,
,,,,,,
"""8544.6012""",8,0,"AS,CL,PK,NZ,SG,",0,LD,50
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS , AU ,RNZ ,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,5.2,AP,,,
,,6,KR,,,
,,6.4,"RJP ,EC",,,
"""8544.6013""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
"""0110.0000""",,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,5,KR,,,
,,5.2,AP,,,
,,5.3,JP,,,
